smiles,150-10,200-10,300-10,150-20,200-20,300-20
O=C(OC)C1=CC=C(C(OC)=O)C=C1N,0.84,0.85,0.89,0.87,0.88,0.91
OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,0.98,0.99,0.97,0.98,0.98,0.96
CN1C(CCC1)C2=CN=CC=C2,0.99,0.99,0.97,0.99,0.99,0.98
COC1=CC=CC=C1C,0.52,0.38,0.54,0.64,0.48,0.66
OS(C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N(C)C)(=O)=O,1.00,1.00,1.00,1.00,1.00,1.00
C=C(N)NC1=C2C=CC=CC2=CC=C1,1.00,1.00,1.00,1.00,1.00,1.00
CC(C(C1=CC=CC=C1)O)N(C)C,1.00,1.00,1.00,1.00,1.00,1.00
C1(C2=CC=NC=C2)=CC=NC=C1,0.76,0.72,0.69,0.85,0.83,0.78
Oc1cccc(c1)[N+]([O-])=O,0.47,0.44,0.50,0.64,0.56,0.60
OC1=CC=CC([N+]([O-])=O)=C1,0.26,0.25,0.22,0.40,0.31,0.33
O=CC1=CC=C([N+]([O-])=O)C=C1,0.29,0.12,-0.11,0.22,0.15,-0.02
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.96,0.96,0.98,0.97,0.97,0.98
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.00,1.00,1.00,1.00,1.00,1.00
N[C@H](C1=CC=CC=C1)CO,0.83,0.81,0.82,0.87,0.87,0.89
CC1=C(C(=CC=C1)C)Br,0.56,0.54,0.63,0.73,0.71,0.73
O=CC1=CC(C)=CC(C)=C1,0.73,0.69,0.72,0.79,0.79,0.78
NC1=C2N=CC=CC2=CC=C1,0.20,0.02,0.06,0.45,0.42,0.45
C1=CC(=C(C=C1Br)C(=O)O)N,0.89,0.85,0.90,0.90,0.86,0.90
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.71,0.56,0.73,0.81,0.70,0.83
CC1=C(OC)C=C(C)C(Br)=C1,0.99,0.98,0.97,0.99,0.99,0.98
CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,0.97,0.95,0.98,0.98,0.97,0.99
CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,0.93,0.99,0.99,0.97,1.00,0.99
OC1=CC2=CC=C(O)C=C2C=C1,0.71,0.68,0.67,0.75,0.78,0.79
OCCN(C1=NC2=C(C(N3CCCCC3)=N1)N=C(N(CCO)CCO)N=C2N4CCCCC4)CCO,1.00,1.00,1.00,1.00,1.00,1.00
C1COC2=C(O1)C=CC(=C2)Br,0.41,0.35,0.32,0.46,0.38,0.32
BrC1=CC=CC=C1Br,0.81,0.80,0.82,0.87,0.88,0.85
OC(=O)CCCCC1SCC2NC(=O)NC12,0.90,0.88,0.91,0.92,0.91,0.92
Cc1cccc(Br)c1,0.36,0.32,0.33,0.54,0.53,0.56
Nc1cccc(O)c1,0.33,0.31,0.31,0.32,0.28,0.28
N[C@H](C)C1CCCCC1,0.96,0.94,0.98,0.97,0.97,0.98
CC(C)(C)OC(=O)N1CCC(C1)C(=O)O,0.41,0.27,0.58,0.57,0.39,0.54
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)O,1.00,1.00,1.00,0.99,0.99,1.00
O=C(O)C1=CN=CC=C1,0.23,0.22,0.25,0.26,0.24,0.26
CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O,1.00,1.00,1.00,1.00,1.00,1.00
CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,0.98,0.98,0.96,0.99,0.99,0.98
NC1=CC=CC([N+]([O-])=O)=C1C,0.60,0.57,0.55,0.73,0.72,0.65
C1=CC(=C(C(=C1)O)N)[N+](=O)[O-],0.57,0.92,0.92,0.72,0.95,0.94
Nc1cccc2ncccc12,0.68,0.67,0.70,0.78,0.78,0.81
C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)O,0.80,0.80,0.81,0.87,0.87,0.85
CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,0.62,0.41,0.58,0.63,0.45,0.45
CN1C=CC2=C1C=CC(=C2)Br,0.51,0.46,0.43,0.59,0.50,0.44
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,0.88,0.88,0.92,0.93,0.93,0.95
O=C(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,0.90,0.89,0.93,0.94,0.94,0.95
O=C(NC1=C(C)C=CC=C1)C(C)(C)C,0.98,0.98,0.99,0.99,0.99,0.99
NCCC1=CNC2=CC=CC=C12,0.96,0.96,0.92,0.96,0.96,0.92
COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,0.59,0.49,0.45,0.72,0.71,0.67
C1CC(=O)NC1,0.33,0.32,0.27,0.02,-0.24,-0.11
NC(C)C1=CC=CC=C1,0.53,0.51,0.55,0.60,0.56,0.61
BrC1=CC=C(C(OC)=O)C=C1,0.37,0.40,0.39,0.49,0.51,0.53
COC(=O)C1=CC=C(C=C1)I,0.33,0.21,0.33,0.48,0.36,0.47
N#CC1=CC=C([N+]([O-])=O)C=C1,0.36,0.83,0.84,0.58,0.90,0.89
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,1.00,1.00,1.00,1.00,1.00,1.00
O=CC1=CC=C(C)O1,0.23,0.19,0.19,0.18,0.22,0.23
CC1=CC=C(NC2=CC=C(C)C=C2)C=C1,0.56,0.56,0.64,0.67,0.71,0.77
COC1=CC(OC)=CC(OC)=C1,0.71,0.68,0.69,0.79,0.74,0.76
COC1=CC(OC)=CC(OC)=C1,1.00,1.00,1.00,1.00,1.00,1.00
OC(=O)c1ccc(cc1)[N+]([O-])=O,0.93,0.93,0.93,0.95,0.95,0.96
BrCC1=CC=C(C=C1)CBr,0.48,0.42,0.37,0.55,0.50,0.40
N#CC1=CC=C(C#N)C=C1,0.26,0.12,0.14,0.48,0.47,0.49
BrC1=CN=C(Br)C=C1,0.20,0.12,0.20,0.29,0.24,0.35
Cc1ccc(I)cc1,0.40,0.30,0.24,0.38,0.43,0.45
CC1=CC=C(C=C1)I,0.13,0.05,0.38,0.28,0.12,0.25
IC1=CC=C(I)C=C1,0.36,0.40,0.47,0.37,0.41,0.50
IC1=CC=C(I)C=C1,0.49,0.44,0.51,0.65,0.56,0.60
CCOC1=CC=C(C=C1)NC(C)=O,0.79,0.77,0.79,0.84,0.82,0.84
C1=CC=C(C=C1)N,0.13,0.13,0.08,0.26,0.18,0.20
IC1=CC(I)=CC=C1,0.48,0.40,0.35,0.51,0.54,0.56
C1=CC=C2C(=C1)C3=C(N2)C=CC(=C3)Br,0.73,0.71,0.69,0.79,0.73,0.70
IC1=CC(I)=CC=C1,0.39,0.36,0.39,0.44,0.41,0.44
